Fecha,Cuadrante,Variedad,NumPlanta,AltPlanta_cm,Cant_hojas,GrosorEntrenudos_cm,GE_M1_cm,GE_M2_ cm,GE_M2_cm,
2021-07-04,T1-2,CajeteAmarillo,19,15.5,3,,,,,
2021-07-04,T1-2,CajeteAmarillo,20,19.5,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,1,12.5,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,2,15.0,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,3,25.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,4,21.0,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,5,24.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,6,33.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,7,22.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,8,25.0,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,9,25.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,10,22.0,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,11,8.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,12,12.0,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,13,19.5,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,14,28.0,3,,,,,
2021-07-04,T1-3,CajeteAmarillo,15,27.5,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,16,24.5,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,17,45.0,4,,,,,
2021-07-04,T1-3,CajeteAmarillo,18,15.0,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,19,15.5,2,,,,,
2021-07-04,T1-3,CajeteAmarillo,20,15.0,3,,,,,
2021-07-04,T1-4,TemporalAzul,1,27.0,3,,,,,
2021-07-04,T1-4,TemporalAzul,2,15.5,2,,,,,
2021-07-04,T1-4,TemporalAzul,3,24.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,4,20.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,5,28.0,3,,,,,
2021-07-04,T1-4,TemporalAzul,6,27.0,3,,,,,
2021-07-04,T1-4,TemporalAzul,7,20.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,8,29.0,3,,,,,
2021-07-04,T1-4,TemporalAzul,9,12.5,2,,,,,
2021-07-04,T1-4,TemporalAzul,10,20.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,11,14.5,2,,,,,
2021-07-04,T1-4,TemporalAzul,12,17.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,13,20.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,14,19.5,1,,,,,
2021-07-04,T1-4,TemporalAzul,15,19.5,1,,,,,
2021-07-04,T1-4,TemporalAzul,16,19.0,2,,,,,
2021-07-04,T1-4,TemporalAzul,17,35.0,3,,,,,
2021-07-04,T1-4,TemporalAzul,18,17.5,2,,,,,
2021-07-04,T1-4,TemporalAzul,19,26.5,3,,,,,
2021-07-04,T1-4,TemporalAzul,20,14.5,2,,,,,
