Fecha,Cuadrante,Variedad,NoPlanta,ID_Planta,AltPlanta_cm,Cant_hojas,GrosorEntrenudos_cm,GE_M1_cm,GE_M2_ cm,GE_M2_cm
2021-07-22,T1-3,CajeteAmarillo,13,T1-3-13,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,14,T1-3-14,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,15,T1-3-15,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,16,T1-3-16,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,17,T1-3-17,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,18,T1-3-18,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,19,T1-3-19,,,#¡DIV/0!,,,
2021-07-22,T1-3,CajeteAmarillo,20,T1-3-20,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,1,T1-4-1,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,2,T1-4-2,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,3,T1-4-3,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,4,T1-4-4,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,5,T1-4-5,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,6,T1-4-6,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,7,T1-4-7,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,8,T1-4-8,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,9,T1-4-9,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,10,T1-4-10,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,11,T1-4-11,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,12,T1-4-12,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,13,T1-4-13,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,14,T1-4-14,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,15,T1-4-15,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,16,T1-4-16,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,17,T1-4-17,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,18,T1-4-18,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,19,T1-4-19,,,#¡DIV/0!,,,
2021-07-22,T1-4,TemporalAzul,20,T1-4-20,,,#¡DIV/0!,,,
